Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
My Branch,prayagraj,"S N Towers, 4C, Maharshi Dayanand Marg, opp. Radio Station, Maharishi, Civil Lines, Prayagraj, Uttar Pradesh 211001, India",Shweta Sahu,Uttar Pradesh,civil lines,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Smoking Room"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",6500,0,0,platinum,My Branch,4.4,345,8,Flexi Desk
ReOffice-I,gurgaon,"Courtyard, TOWER-C, Nirvana Courtyard, 607-608, Nirvana Country, Sector 50, Gurugram, Haryana 122018, India",Umesh Tiwari,Haryana,sector 50,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",6500,0,7000,platinum,ReOffice-I,4.6,403,86,"Flexi Desk, Private Cabin"
EasyDaftar,kolkata,"8/1/2 Loudon Street, 3rd Floor. Surabhi Building, 8/1, Sir UN Brahmachari Sarani, Elgin, Kolkata, West Bengal 700017, India",Sahil Wadhwa,West Bengal,elgin,0,standard,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",6000,0,0,gold,EasyDaftar-Salt Lake,3.9,71,59,Flexi Desk
India Accelerator,gurgaon,"Ground Floor, MGF Metropolis Mall, Mehrauli-Gurgaon Rd, Maruti Housing Colony, Sector 28, Gurugram, Haryana 122002, India",Shivokt Chitransh,Haryana,sector 28,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,0,16000,platinum,India Accelerator,4.2,246,71,Private Cabin
India Accelerator,gurgaon,"Unit No.- 11-A, 11-B, 12-A & 12-B, Ground Floor IRIS Tech Park, Badshahpur Sohna Rd Hwy, Gurugram, Haryana 122018",Shivokt Chitransh,Haryana,sector 48,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Food"",""Power Backup""]",6000,0,0,platinum,India Accelerator,3.8,477,24,Flexi Desk
Home Maker Spaces,madurai,"3780,Floor I, TNHB Colony, Madurai, Tamil Nadu 625011, India",Siva ,Tamil Nadu,tnhb colony,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Reception"",""Power Backup""]",5000,0,3000,gold,Home Maker Spaces,4.6,117,24,"Flexi Desk, Private Cabin"
Unispace BC,hyderabad,"Office No: 303 & 305, Plot No: 32-34 & 39-41, KTC Illumination, Image Hospital Road, Gaffoor Nagar, Madhapur, Hyderabad - 500081.",Avinash,Telangana,hitec city,0,standard,live,"[""Parking"",""Wifi"",""Stationary"",""Printer/Scanner"",""Smoking Room"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",6000,0,6500,platinum,Unispace BC,5.0,231,48,"Flexi Desk, Private Cabin"
Unispace BC-I,hyderabad,"No.80-84, 11A & 8C, Ratnadeep Supermarket Lane, Patrika Nagar, Hitech city, Hyderabad, Telangana 500081, India.",Avinash,Telangana,hitec city,0,standard,live,"[""Parking"",""Wifi"",""Printer/Scanner"",""Tea/Coffee"",""Reception"",""Services(Courier Service/Meeting Room/Admin/HR/IT)""]",6000,0,6500,platinum,Unispace BC-I,3.8,469,86,"Flexi Desk, Private Cabin"
Unispace BC,hyderabad,"Vaishnavi Cynosure, 2-48/5/6, 5B & 5C, Old Mumbai Hwy, Telecom Nagar Extension, Gachibowli, Hyderabad - 500032.",Avinash,Telangana,gachibowli,0,standard,live,"[""Parking"",""Wifi"",""Stationary"",""Printer/Scanner"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)""]",6000,0,6500,platinum,Unispace BC,4.1,327,89,"Flexi Desk, Private Cabin"
Unispace BC,hyderabad,"303 & 304, Modern Profound Techpark, Kondapur, Hyderabad - 500032.",Avinash,Telangana,whitefields,0,standard,live,"[""Parking"",""Wifi"",""24*7 Access"",""Reception"",""F&B Cafe"",""Power Backup""]",6000,0,6500,platinum,Unispace BC,5.0,320,92,"Flexi Desk, Private Cabin"
