Unboxed Coworking,CITY,ADDRESS,POC,STATE,AREA,DAY PASS,CATEGORY AS PER PRICING,STATUS,AMENITIES,FLEXI DESK _MONTHLY,DD_MONTHLY,PC_MONTHLY,CATEGORY AS PER SAP,ALT NAME,avg_rating,review_count,seats_available,Offering
Akasa Coworking,noida,"56-6C, C Block, Phase 2, Industrial Area, Sector 62, Noida, Uttar Pradesh 201309",Sailesh,Uttar Pradesh,sector 62,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,8500,gold,Akasa Coworking,3.9,165,64,"Dedicated Desk, Private Cabin"
Thinkvalley,gurgaon,"B-17, Institutional Area, Sector 32, Gurgaon, Haryana",Noor,Haryana,sector 32,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Thinkvalley,4.1,27,86,Dedicated Desk
Thinkvalley-B13/14,gurgaon,"B13, 14, Sector 32, Gurugram, Haryana 122001, India",Noor,Haryana,sector 32,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Thinkvalley-B13/14,4.8,315,14,Dedicated Desk
Thinkvalley-37B,gurgaon,"37B, Institutional Area, Sector 32, Gurgaon, Haryana",Noor,Haryana,sector 32,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Thinkvalley-37B,4.0,38,32,Dedicated Desk
Thinkvalley,gurgaon,"Unit No 3, Tower B Unitech CyberPark, Sector 39, Gurugram, Haryana 122001",Noor,Haryana,sector 39,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Thinkvalley,4.7,16,10,Dedicated Desk
HUBHIVE11,delhi nct,"Building No 94, 1st Floor, near Shambhu Dayal Bagh, Old Ishwar Nagar, Shambhu Dayal Bagh, Okhla Industrial Estate, New Delhi, Delhi 110020, India",Anil,Delhi (NCT),shambhu dayal bagh,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,9500,gold,HUBHIVE11,4.6,67,37,"Dedicated Desk, Private Cabin"
Desqworx,gurgaon,"IRIS Tech Tower, 305-C, Sector 48, Gurugram, Haryana 122018, India",shiraz,Haryana,sector 48,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7000,8500,0,platinum,Desqworx,3.9,153,71,"Flexi Desk, Dedicated Desk"
Workafella Coworking,chennai,"10, Uthamar Gandhi Salai, Nungambakkam High Rd, Tirumurthy Nagar, Nungambakkam, Chennai, Tamil Nadu 600034, India",Janvi,Tamil Nadu,nungambakkam,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workafella Coworking,4.8,50,71,Dedicated Desk
Incubex HSR21,bengaluru,"5th Main Rd, Sector 6, HSR Layout, Bengaluru, Karnataka 560068",Arjun GR,Karnataka,hsr layout,0,standard,not live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,7500,0,gold,Incubex HSR21,3.6,409,43,Dedicated Desk
Workafella Coworking,chennai,"Level 7, IIFL TOWERS, 143, MGR Main Rd, Kandhanchavadi, Perungudi, Chennai, Tamil Nadu 600096, India",Janvi,Tamil Nadu,perungudi,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workafella Coworking,3.6,67,33,Dedicated Desk
Workafella Coworking,chennai,"51, Rattha, 4th Floor, Tower A, TEK MEADOWS, SH 49A, OMR, Sholinganallur, Chennai, Tamil Nadu 600119, India",Janvi,Tamil Nadu,sholinganallur,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workafella Coworking,4.7,305,99,Dedicated Desk
Workshaala,bengaluru,"GR Tech Park Rd, Pattandur Agrahara, Whitefield, Bengaluru, Karnataka 560066, India",Manali Sahu,Karnataka,whitefield,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala,4.3,442,34,Dedicated Desk
Workshaala Argus,bengaluru,"3rd floor, 82, 1-838/1, 100 Feet Rd, Binnamangala, Stage 1, Indiranagar, Bengaluru, Karnataka 560038, India",Manali Sahu,Karnataka,indiranagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Argus,3.9,378,47,Dedicated Desk
Workshaala Cosmic,bengaluru,"Ground Floor Sy. No. 15, 3 & 16, SALARPURIA HALLMARK, Marathahalli - Sarjapur Outer Ring Rd, Kaverappa Layout, Kadubeesanahalli, Kadabeesanahalli, Bengaluru, Karnataka 560103, India",Manali Sahu,Karnataka,kaverappa layout,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Cosmic,3.5,83,30,Dedicated Desk
BIGBOX-Balaji Business Center,pune,"HQ59+PWC, Pashan Hwy Side Rd, next to Royal Court Banquet, Baner, Pune, Maharashtra 411045, India",Vinit Pandit,Maharashtra,baner,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,silver,BIGBOX-Balaji Business Center,5.0,225,49,Dedicated Desk
Workshaala Carnival,thiruvananthapuram,"6th floor, HV6J+7C7 Carnival Technopark, Technopark Campus, Karyavattom, Thiruvananthapuram, Kerala 695581, India",Manali Sahu,Kerala,karyavattom,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Carnival,4.1,39,84,Dedicated Desk
Workshaala Greens,kochi,"Prestige Cyber Green 1 Smartcity Rd, Kakkanad, Kochi, Kerala 682030",Manali Sahu,Kerala,kakkanad,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Greens,3.6,457,66,Dedicated Desk
Workshaala Casadona,kolkata,"Workshaala Casadona Newtown, Kolkata",Manali Sahu,West Bengal,newtown,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Casadona,4.4,151,37,Dedicated Desk
Workshaala Heritage,ahmedabad,"A Block, Sarkhej - Gandhinagar Hwy, Makarba, Ahmedabad, Gujarat 38005",Manali Sahu,Gujarat,makarba,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Heritage,4.6,117,94,Dedicated Desk
Workshaala Serene,kochi,"4th Floor, Vismaya Building, InfoPark Phase 1, Campus, Kakkanad, Kochi, Kerala 682042",Manali Sahu,Kerala,infopark,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8500,0,gold,Workshaala Serene,4.8,484,6,Dedicated Desk
Coinside Coworking,navi mumbai,"Haware infotech park, Floor No. 24,25,26  Plot. 39/3, Sector 30A,  Vashi, Navi Mumbai,  Maharashtra 400705",Siddhesh,Maharashtra,vashi,750,platinum,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8500,8500,10000,platinum,Coinside Coworking,3.7,449,21,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Toutle Space-Corporate Arena,mumbai,"Corporate Arena, 502, Sitaram Patkar Rd, Piramal Nagar, Goregaon West, Mumbai, Maharashtra 400104, India",Shashank,Maharashtra,goregaon west,600,platinum,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7800,8500,9500,platinum,Toutle Space  ,4.8,441,36,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Akasa Coworking,bhubaneshwar," 4th Floor, SBR Tower, Infocity, Patia, Bhubaneswar, Odisha 751024",Sailesh Alley,Odisha,patia,500,gold,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Reception"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup""]",0,8600,0,gold,Akasa Coworking,4.6,430,76,"Day Pass, Dedicated Desk"
BHIVE,bengaluru,"BHIVE Workspace - No.112, AKR Tech Park, ""A"" and, Uma Sree Dream World B-Block, 7th Mile Hosur Rd, Kudlu Gate, Krishna Reddy Industrial Area, Hosapalaya, Muneshwara Nagar, Bengaluru, Karnataka 560068, India",Oswald Ernest,Karnataka,muneshwara nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8600,0,gold,BHIVE,3.7,448,35,Dedicated Desk
91Springboard,bengaluru,"Gopala Krishna Complex 45/3, Residency Road, Mahatma Gandhi Rd, Bengaluru, Karnataka 560025",Zaid Bin Ayub,Karnataka,sivanchetti gardens,600,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup"",""Gaming Room"",""Food""]",0,8700,11400,platinum,91Springboard,4.9,496,27,"Day Pass, Dedicated Desk, Private Cabin"
91Springboard,noida,"C2, Sector 1, Block C, Sector 1, Noida, Uttar Pradesh 201301",Rajat Singh,Uttar Pradesh,sector 1,600,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Power Backup"",""Gaming Room""]",0,8800,10400,platinum,91Springboard,4.4,108,93,"Day Pass, Dedicated Desk, Private Cabin"
Level 212,pune,"Level212 Coworks, Parmar House 2413 East Street, Exhibition Rd, Camp, Pune, Maharashtra 411001, India",ram,Maharashtra,camp,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",2250,8800,8800,gold,Level 212,4.2,305,58,"Flexi Desk, Dedicated Desk, Private Cabin"
91springboard,bengaluru,"175 & 176, Bannerghatta Rd, Dollars Colony, Phase 4, J. P. Nagar, Bengaluru, Karnataka 560076",Aviraj Bose,Karnataka,j. p. nagar,600,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Virtual Address)"",""Services(HR/Admin/IT)"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Gaming Room"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Services(Courier/Mail Handling/Admin/Meeting Room)"",""Food"",""Pets Friendly"",""Power Backup"",""Leased Line""]",0,8900,10700,platinum,91springboard,4.8,399,85,"Day Pass, Dedicated Desk, Private Cabin"
91Springboard,noida,"Plot No. D, 107, Vyapar Marg, D Block, Sector 2, Noida, Uttar Pradesh 201301",Shefali John ,Uttar Pradesh,sector 2,600,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Food"",""Power Backup"",""Gaming Room""]",0,8900,10700,platinum,91Springboard,3.6,57,7,"Day Pass, Dedicated Desk, Private Cabin"
VCN Coworking,pune,"1104, Amar Business Zone, Main, Baner Rd, above Reliance Digital, Swati Park, Veerbhadra Nagar, Baner, Pune, Maharashtra 411045, India",Mr. Vinay,Maharashtra,baner,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",7900,8900,9900,platinum+,VCN Coworking,4.4,165,99,"Flexi Desk, Dedicated Desk, Private Cabin"
BHIVE,bengaluru,"Honeykomb, 703, 22nd A Main Rd, Parangi Palaya, Sector 2, HSR Layout, Bengaluru, Karnataka 560102",,Karnataka,hsr layout,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8900,0,gold,BHIVE,3.9,274,38,Dedicated Desk
BHIVE,bengaluru,"1794 36/3, 27th Main Rd, near Power Station, 2nd Sector, ITI Layout, Sector 7, HSR Layout, Bengaluru, Karnataka 560102, India",Oswald Ernest,Karnataka,hsr layout,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8900,0,gold,BHIVE,4.8,399,16,Dedicated Desk
Rworkspaces-II,delhi nct,"Unit no1, Plot no2 ,distt centre, third floor dda building, Vardhman Trade Centre, above canara bank and Exide Life Insurance, Nehru Place, New Delhi, Delhi 110019, India",Hina,Delhi (NCT),nehru place,350,silver,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee""]",7999,8999,14000,gold,Rworkspaces-II,4.2,264,71,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Incuspaze-Ackruti Star,mumbai,"203, 2nd Floor, Ackruti Star, MIDC Central Road, Andheri (East), Mumbai- 400093.",Nikhil,Maharashtra,andheri east,699,platinum,live,"[""Parking"",""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Printer/Scanner"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""F&B Cafe"",""Food"",""Power Backup""]",0,8999,9999,platinum+,Incuspaze-Ackruti Star,4.4,361,66,"Day Pass, Dedicated Desk, Private Cabin"
603 The Coworking Space Sunmil Centre,mumbai,"603,Unit No.15,Sunmill Compound,Cama Industrail Estate,Lower Parel,Mumbai 400013",Aman Bhedha,Maharashtra,lower parel,599,platinum,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6999,8999,9999,platinum,603 The Coworking Space Sunmil Centre,3.7,251,100,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Innov8 Suman Business Park,pune,"102, Suman Business Center, Kalyani Nagar, Pune, Maharashtra 411014",Mitalee Pardeshi,Maharashtra,kalyani nagar,400,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8399,8999,9999,gold,Innov8 Suman Business Park,4.8,325,31,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Inscape Cowork,pune,"6th Floor, Omicron Commerze, Lane Z, opp. Carnival Restaurant, Koregaon Park Annexe, Mundhwa, Pune, Maharashtra 411028, India",Kiran,Maharashtra,mundhwa,500,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7999,8999,9999,gold,Inscape Cowork,4.1,164,86,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Enzyme Legacy,bengaluru,"Seetharampalya - Hoodi Rd, Doddanakundi Industrial Area 2, Seetharampalya, Hoodi, Bengaluru, Karnataka 560048",Shweta,Karnataka,whitefield,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8999,0,gold,Enzyme Legacy,3.7,318,37,Dedicated Desk
Enzyme The Hub,bengaluru,"The Hub Unit 1, Sarjapur - Marathahalli Rd, Bellandur, Bengaluru, Karnataka 560102",Shweta,Karnataka,bellandur,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8999,0,gold,Enzyme The Hub,3.6,495,96,Dedicated Desk
Enzyme MPK,bengaluru,"18th Main Road, 138/B, 5th Cross Rd, KHB Colony, 5th Block, Koramangala, Bengaluru, Karnataka 560095",Shweta,Karnataka,koramangala,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8999,0,gold,Enzyme MPK,5.0,371,34,Dedicated Desk
Enzyme Tech Park,bengaluru,"142, Hosur Rd, Koramangala Industrial Layout, Koramangala, Bengaluru, Karnataka 560095",Shweta,Karnataka,koramangala,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8999,0,gold,Enzyme Tech Park,4.4,456,39,Dedicated Desk
Daftar Cowork,delhi nct,"1e/23, Walking from Metro station, Block E 1, Jhandewalan Extension, Karol Bagh, Delhi, New Delhi, Delhi 110055, India",Radhika Somani,Delhi (NCT),karol bagh,499,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,8999,9999,gold,Daftar Cowork,4.7,369,28,"Day Pass, Dedicated Desk, Private Cabin"
CO - OFFIZ,gurgaon,"8th Floor, Magnum Towers, 1, Golf Course Ext Rd, Sector 58, Gurugram, Haryana 122011, India",Shashank,Haryana,sector 58,500,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Services(Courier/Admin)"",""Locker/Storage"",""Tea/Coffee"",""24*7 Access"",""Work Friendly Music"",""Meeting Room"",""Common Area"",""Reception"",""Services(HR/Admin/IT/Virtual Address)"",""Services(HR/Admin/IT)"",""Services(HR/Admin/IT/Meeting Room)"",""F&B Cafe"",""Gaming Room"",""Services(Courier Service/Meeting Room/Admin/HR/IT)"",""Services(Courier/Mail Handling/Admin/Meeting Room)"",""Food"",""Pets Friendly"",""Power Backup"",""Leased Line"",""Easy Accessibility"",""Stationary"",""Smoking Room""]",8000,9000,10000,gold,Co Offiz,4.7,40,14,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Truworx,gurgaon,"A-14/15, DLF Phase 1, Sector 26A, Gurugram, Haryana 122002, India",Mr. Gaurav Sethi,Haryana,sector 26a,500,gold,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Common Area"",""Reception"",""Power Backup""]",5000,9000,12000,gold,Truworx,4.2,33,25,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Ascend Cowork,thane,"13th floor, A Wing, Dev Corpora Cadbury junction, Eastern Express Hwy, Thane West, Thane, Maharashtra 400601, India",Jay Jain,Maharashtra,thane west,0,standard,live,"[""Wifi"",""Stationary"",""Power Socket"",""Locker/Storage"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",8000,9000,11000,gold,Ascend Coworks,4.3,423,61,"Flexi Desk, Dedicated Desk, Private Cabin"
Kplex,vadodara,"1st Floor, Vadodara Hyper Complex, Rhino Circle, Dr Vikram Sarabhai Marg, Alkapuri, Vadodara, Gujarat 390007, India",Pravin,Gujarat,alkapuri,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Reception""]",0,9000,0,standard,Kplex,3.6,386,35,Dedicated Desk
Covork,delhi nct,"J-6, Block J, Reserve Bank Enclave, Paschim Vihar, New Delhi, Delhi, 110063, India",Ishu shiv,Delhi (NCT),paschim vihar,350,silver,live,"[""Wifi"",""Easy Accessibility"",""Stationary"",""Power Socket"",""Locker/Storage"",""Common Area"",""Food"",""Power Backup""]",7000,9000,0,gold,Covork,4.5,242,86,"Day Pass, Flexi Desk, Dedicated Desk"
Mumbai Coworking Space,mumbai,"Unit No: 306, Morya House, Grande, Lane, opp. Infiniti Mall, next to Mainland China, Veera Desai Industrial Estate, Andheri West, Mumbai, Maharashtra 400047, India",Farin,Maharashtra,andheri west,0,standard,live,"[""Wifi"",""Easy Accessibility"",""Power Socket"",""Locker/Storage"",""Common Area"",""Reception"",""F&B Cafe"",""Power Backup""]",0,9000,0,platinum,Mumbai Coworking Space,3.9,244,54,Dedicated Desk
Ofis Square,noida,"2nd Floor, The Iconic Corenthum, Block A, Industrial Area, Sector 62, Noida, Uttar Pradesh 201301, India",Anjish Sharma,Uttar Pradesh,sector 62,500,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",7500,9000,12000,platinum,Ofis Square,3.6,185,19,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Qspace,gurgaon,"Unit - 205, 2nd floor, Tower C, UNITECH CYBER PARK, Gurgaon, Durga Colony, Sector 39, Gurugram, Haryana 122022, India",Karan Singh Chauhan,Haryana,sector 39,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,10000,standard,Qspace,4.9,280,80,"Dedicated Desk, Private Cabin"
Provyz Coworking,surat,"B-wing Ground & First Floor, SNS Atria, Maharana Pratap Rd, opp. Jolly Party Plot, off Udhana - Magdalla Road, Vesu, Surat, Rundh, Gujarat 395007, India",Saharsh Raja,Gujarat,vesu,500,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",6000,9000,10000,gold,Provyz Co Working,4.3,361,46,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
Qhub Coworking,hyderabad,"37, Rd Number 36, Jawahar Colony, CBI Colony, Jubilee Hills, Hyderabad, Telangana 500033, India",Nasir,Telangana,himayatnagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",5000,9000,0,gold,Qhub Coworking,4.4,430,37,"Flexi Desk, Dedicated Desk"
Awfis-Godrej Waterside,kolkata,"12th Floor, Tower II, Godrej Waterside, DP-5, DP Block, Sector V, Bidhannagar Godrej Waterside Kolkata 700091",Hemant,West Bengal,bidhannagar,449,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,0,gold,Awfis-Godrej Waterside,4.5,63,96,"Day Pass, Dedicated Desk"
Awfis-Residency Square,bengaluru,"Awfis Space Solutions, 6 Richmond Road, Shanthala Nagar, Richmond Town, Residency Road Bengaluru 560025",Rahul,Karnataka,richmond town,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,12000,gold,Awfis-Residency Square,5.0,383,20,"Dedicated Desk, Private Cabin"
Awfis-SRB Tower,bhubaneshwar,"SRB Towers, 1st & 2nd Floor, E-12, Infocity, Patia Bhubaneswar 751024",Sweety,Odisha,patia,249,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,11000,standard,Awfis-SRB Tower,3.8,410,18,"Day Pass, Dedicated Desk, Private Cabin"
Awfis-St Marks Road 2,bengaluru,"4th Floor, Samrah Plaza, St Mark's Rd ,Samrah Plaza, St Mark's Rd, Shanthala Nagar, Ashok Nagar, Bengaluru, Karnataka 560001, India",Rahul,Karnataka,ashok nagar,499,gold,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,0,gold,Awfis-St Marks Road 2,4.7,118,59,"Day Pass, Dedicated Desk"
Awfis-St Marks Road,bengaluru,"Samrah Plaza, St Marks Rd, Shanthala Nagar, Ashok Nagar St Marks Road Bengaluru 560001",Rahul,Karnataka,ashok nagar,349,silver,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",4500,9000,11000,gold,Awfis-St Marks Road,5.0,374,85,"Day Pass, Flexi Desk, Dedicated Desk, Private Cabin"
603 The Coworking Space Millenium Business Park,mumbai,"602, 6th Floor, RUPA SOLITAIRE, Plot No. A-1, Millenium Business Park, Sector 2, Mahape, Navi Mumbai, Maharashtra 400710"," Joy Sharma, Siddhesh Tawate",Maharashtra,millenium business park,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,11000,gold,603 The Coworking Space Millenium Business Park,4.6,295,78,"Dedicated Desk, Private Cabin"
TRIOS coworking,pune,"3rd Floor, B wing, above Axis Bank, Plot no 79, Sakore Nagar, Pune",Ninad,Maharashtra,sakore nagar,0,standard,live,"[""Parking"",""Wifi"",""Power Socket"",""Printer/Scanner"",""Tea/Coffee"",""Meeting Room"",""Common Area"",""Reception"",""Power Backup""]",0,9000,7500,platinum,TRIOS coworking,3.7,105,22,"Dedicated Desk, Private Cabin"
